tt_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Etiqueta
0.0,11.25563,-88.16706,10.3932,0,0,0,0,0,0,0,1.012492,-1.558932,-9.457311,0,0,0,Ejercicio1
0.01,11.25563,-88.16706,10.3932,0,0,0,0,0,0,0,0.01591421,-0.02450308,-0.1486487,0,0,0,Ejercicio1
0.02,11.25563,-88.16706,10.3932,0,0,0,0,0,0,0,0.0001320385,-0.0002032995,-0.001233323,0,0,0,Ejercicio1
0.03,11.25563,-88.16706,10.3932,0,0,0,0,0,0,0,2.075364e-06,-3.195434e-06,-1.93852e-05,0,0,0,Ejercicio1
0.04,11.25563,-88.16706,10.3932,0,0,0,0,0,0,0,1.251039e-08,-1.926223e-08,-1.168549e-07,0,0,0,Ejercicio1
0.05,11.25942,-88.1563,10.34007,0,0,0,0,0,0,0,0.1758809,0.5007513,-2.468238,0,0,0,Ejercicio1
0.06,11.2632,-88.14551,10.28695,0,0,0,0,0,0,0,0.6663705,1.901204,-9.351564,0,0,0,Ejercicio1
0.07,11.2632,-88.14551,10.28695,0,0,0,0,0,0,0,0.007609749,0.02171117,-0.106792,0,0,0,Ejercicio1
0.08,11.2632,-88.14551,10.28695,0,0,0,0,0,0,0,4.587193e-05,0.000130876,-0.0006437474,0,0,0,Ejercicio1
0.09,11.26376,-88.19936,10.27915,0,0,0,0,0,0,0,0.02643129,-2.563889,-0.3709256,0,0,0,Ejercicio1
0.1,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.07452028,-7.249548,-1.045786,0,0,0,Ejercicio1
0.11,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.003826367,-0.37224,-0.05369763,0,0,0,Ejercicio1
0.12,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,1.675808e-05,-0.001630274,-0.0002351759,0,0,0,Ejercicio1
0.13,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,1.3904e-07,-1.352622e-05,-1.95123e-06,0,0,0,Ejercicio1
0.14,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,8.381399e-10,-8.153668e-08,-1.176211e-08,0,0,0,Ejercicio1
0.15,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
0.16,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
0.17,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
0.18,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
0.19,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
0.2,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
0.21,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
0.22,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
0.23,11.26431,-88.2532,10.27137,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,Ejercicio1
0.24,11.28323,-88.19894,10.00583,0,0,0,0,0,0,0,1.829603,5.274615,-25.67588,0,0,0,Ejercicio1
0.25,11.28323,-88.19894,10.00583,0,0,0,0,0,0,0,0.02875744,0.08290569,-0.4035699,0,0,0,Ejercicio1
0.26,11.2908,-88.17707,9.899641,0,0,0,0,0,0,0,0.4941665,1.430552,-6.934926,0,0,0,Ejercicio1
0.27,11.2908,-88.17707,9.899641,0,0,0,0,0,0,0,0.007767242,0.02248523,-0.1090022,0,0,0,Ejercicio1
0.28,11.29458,-88.16611,9.846555,0,0,0,0,0,0,0,0.4605756,1.336063,-6.463524,0,0,0,Ejercicio1
0.29,11.29458,-88.16611,9.846555,0,0,0,0,0,0,0,0.005259633,0.01525743,-0.07381149,0,0,0,Ejercicio1
0.3,11.29837,-88.15513,9.793472,0,0,0,0,0,0,0,0.3600374,1.046568,-5.052613,0,0,0,Ejercicio1
0.31,11.30215,-88.14412,9.740395,0,0,0,0,0,0,0,0.5355945,1.560085,-7.516308,0,0,0,Ejercicio1
0.32,11.30971,-88.12205,9.634253,0,0,0,0,0,0,0,0.9329583,2.728688,-13.09275,0,0,0,Ejercicio1
0.33,11.33239,-88.0553,9.315936,0,0,0,0,0,0,0,2.713731,8.03447,-38.08336,0,0,0,Ejercicio1
0.34,11.34373,-88.02163,9.156838,0,0,0,0,0,0,0,0.8667136,2.581626,-12.1631,0,0,0,Ejercicio1
0.35,11.35129,-87.99908,9.050797,0,0,0,0,0,0,0,0.6158731,1.841843,-8.642905,0,0,0,Ejercicio1
0.36,11.3745,-87.98476,8.725024,0,0,0,0,0,0,0,2.350799,0.4716673,-32.99012,0,0,0,Ejercicio1
0.37,11.44014,-87.98476,8.729714,0,0,0,0,0,0,0,1.67421,0.0410455,-0.5579299,0,0,0,Ejercicio1
0.38,11.44773,-87.96185,8.62375,0,0,0,0,0,0,0,0.9304317,2.788995,-12.88206,0,0,0,Ejercicio1
0.39,11.44773,-87.96185,8.62375,0,0,0,0,0,0,0,0.0146244,0.04383704,-0.2024785,0,0,0,Ejercicio1
0.4,11.45912,-87.92735,8.464837,0,0,0,0,0,0,0,0.7110785,2.161008,-9.921426,0,0,0,Ejercicio1
0.41,11.46727,-87.95808,8.351184,0,0,0,0,0,0,0,0.8364208,-6.936919,-11.67029,0,0,0,Ejercicio1
0.42,11.48624,-87.89992,8.086472,0,0,0,0,0,0,0,0.2214484,0.6250373,-3.089793,0,0,0,Ejercicio1
0.43,11.49383,-87.8765,7.980619,0,0,0,0,0,0,0,0.3143468,0.9709815,-4.385972,0,0,0,Ejercicio1
0.44,11.49383,-87.8765,7.980619,0,0,0,0,0,0,0,0.001376724,0.004252543,-0.01920895,0,0,0,Ejercicio1
0.45,11.56358,-87.86475,7.932442,0,0,0,0,0,0,0,0.02666932,0.006302452,-0.02660157,0,0,0,Ejercicio1
0.46,11.56358,-87.86475,7.932442,0,0,0,0,0,0,0,8.486151e-05,2.005435e-05,-8.464592e-05,0,0,0,Ejercicio1
0.47,11.56358,-87.86475,7.932442,0,0,0,0,0,0,0,9.690926e-07,2.290146e-07,-9.666308e-07,0,0,0,Ejercicio1
0.48,11.57121,-87.84121,7.826622,0,0,0,0,0,0,0,0.3778765,1.168779,-5.242148,0,0,0,Ejercicio1
0.49,11.59027,-87.78196,7.562155,0,0,0,0,0,0,0,1.839911,5.745623,-25.52444,0,0,0,Ejercicio1
0.5,11.59845,-87.81197,7.448689,0,0,0,0,0,0,0,0.8400935,0.007260437,-11.65432,0,0,0,Ejercicio1
0.51,11.60608,-87.78802,7.342956,0,0,0,0,0,0,0,0.5963557,1.846496,-8.273035,0,0,0,Ejercicio1
0.52,11.6137,-87.76401,7.237242,0,0,0,0,0,0,0,0.3722278,1.175591,-5.163787,0,0,0,Ejercicio1
0.53,11.61425,-87.81786,7.229551,0,0,0,0,0,0,0,0.01976225,-1.335035,-0.2741548,0,0,0,Ejercicio1
0.54,11.61425,-87.81786,7.229551,0,0,0,0,0,0,0,8.655141e-05,-0.005846965,-0.001200698,0,0,0,Ejercicio1
0.55,11.62242,-87.84762,7.116188,0,0,0,0,0,0,0,1.117267,2.819374,-15.49946,0,0,0,Ejercicio1
0.56,11.63004,-87.82343,7.010513,0,0,0,0,0,0,0,0.02664497,0.0816277,-0.3696363,0,0,0,Ejercicio1
0.57,11.63004,-87.82343,7.010513,0,0,0,0,0,0,0,0.0005764314,0.001765916,-0.007996633,0,0,0,Ejercicio1
0.58,11.63385,-87.81129,6.957683,0,0,0,0,0,0,0,0.1776031,0.5662564,-2.463826,0,0,0,Ejercicio1
0.59,11.63385,-87.81129,6.957683,0,0,0,0,0,0,0,0.003842228,0.01225027,-0.05330189,0,0,0,Ejercicio1
0.6,11.63385,-87.81129,6.957683,0,0,0,0,0,0,0,1.682755e-05,5.36517e-05,-0.0002334427,0,0,0,Ejercicio1
0.61,11.63385,-87.81129,6.957683,0,0,0,0,0,0,0,1.396164e-07,4.451425e-07,-1.936849e-06,0,0,0,Ejercicio1
0.62,11.63766,-87.79914,6.904858,0,0,0,0,0,0,0,0.2406665,0.768759,-3.338683,0,0,0,Ejercicio1
0.63,11.63766,-87.79914,6.904858,0,0,0,0,0,0,0,0.001450749,0.004634116,-0.02012574,0,0,0,Ejercicio1
0.64,11.64146,-87.78696,6.852038,0,0,0,0,0,0,0,0.1330207,0.4257006,-1.84535,0,0,0,Ejercicio1
0.65,11.64527,-87.77477,6.799222,0,0,0,0,0,0,0,0.020453,0.06557696,-0.2837373,0,0,0,Ejercicio1
0.66,11.64908,-87.76256,6.746412,0,0,0,0,0,0,0,0.05102535,0.1639034,-0.7078568,0,0,0,Ejercicio1
0.67,11.65669,-87.73806,6.640807,0,0,0,0,0,0,0,0.5401671,1.741573,-7.49355,0,0,0,Ejercicio1
0.68,11.67571,-87.67644,6.376881,0,0,0,0,0,0,0,0.7568032,2.462647,-10.49887,0,0,0,Ejercicio1
0.69,11.67952,-87.66405,6.324111,0,0,0,0,0,0,0,0.4725688,1.54057,-6.555783,0,0,0,Ejercicio1
0.7,11.68332,-87.65163,6.271346,0,0,0,0,0,0,0,0.02193844,0.07165031,-0.3043444,0,0,0,Ejercicio1
0.71,11.68713,-87.63921,6.218585,0,0,0,0,0,0,0,0.007437321,0.02433456,-0.1031754,0,0,0,Ejercicio1
0.72,11.68713,-87.63921,6.218585,0,0,0,0,0,0,0,4.483253e-05,0.0001466899,-0.000621946,0,0,0,Ejercicio1
0.73,11.68713,-87.63921,6.218585,0,0,0,0,0,0,0,3.719708e-07,1.21707e-06,-5.160221e-06,0,0,0,Ejercicio1
0.74,11.69093,-87.62675,6.165831,0,0,0,0,0,0,0,0.1003017,0.3287823,-1.391451,0,0,0,Ejercicio1
0.75,11.69093,-87.62675,6.165831,0,0,0,0,0,0,0,0.001145415,0.003754594,-0.01588994,0,0,0,Ejercicio1
0.76,11.69093,-87.62675,6.165831,0,0,0,0,0,0,0,6.904616e-06,2.263287e-05,-9.578533e-05,0,0,0,Ejercicio1
0.77,11.69093,-87.62675,6.165831,0,0,0,0,0,0,0,1.159739e-08,3.801548e-08,-1.608866e-07,0,0,0,Ejercicio1
0.78,11.69093,-87.62675,6.165831,0,0,0,0,0,0,0,1.324387e-10,4.341253e-10,-1.837276e-09,0,0,0,Ejercicio1
0.79,11.69853,-87.60178,6.060336,0,0,0,0,0,0,0,0.5446249,1.791762,-7.555392,0,0,0,Ejercicio1
0.8,11.70994,-87.56416,5.902132,0,0,0,0,0,0,0,0.5906026,1.953631,-8.193225,0,0,0,Ejercicio1
0.81,11.70994,-87.56416,5.902132,0,0,0,0,0,0,0,0.006744503,0.02230987,-0.09356414,0,0,0,Ejercicio1
0.82,11.71374,-87.55157,5.849407,0,0,0,0,0,0,0,0.09717291,0.3220163,-1.348046,0,0,0,Ejercicio1
0.83,11.71374,-87.55157,5.849407,0,0,0,0,0,0,0,0.0005857629,0.00194113,-0.008126085,0,0,0,Ejercicio1
0.84,11.71754,-87.53896,5.796688,0,0,0,0,0,0,0,0.0511655,0.1698612,-0.7098011,0,0,0,Ejercicio1
0.85,11.72894,-87.50102,5.63856,0,0,0,0,0,0,0,0.7020391,2.343277,-9.739143,0,0,0,Ejercicio1
0.86,11.75552,-87.41174,5.269777,0,0,0,0,0,0,0,3.003235,10.15034,-41.66283,0,0,0,Ejercicio1
0.87,11.7745,-87.34731,5.006517,0,0,0,0,0,0,0,1.587994,5.414786,-22.02969,0,0,0,Ejercicio1
0.88,11.79781,-87.32316,4.683131,0,0,0,0,0,0,0,0.923654,1.739502,-12.81353,0,0,0,Ejercicio1
0.89,11.80918,-87.28387,4.525333,0,0,0,0,0,0,0,0.5660443,1.952048,-7.852535,0,0,0,Ejercicio1
0.9,11.82434,-87.23116,4.315012,0,0,0,0,0,0,0,1.27464,4.445893,-17.68264,0,0,0,Ejercicio1
0.91,11.82434,-87.23116,4.315012,0,0,0,0,0,0,0,0.004055892,0.01414679,-0.05626598,0,0,0,Ejercicio1
0.92,11.82434,-87.23116,4.315012,0,0,0,0,0,0,0,6.374995e-05,0.0002223573,-0.0008843809,0,0,0,Ejercicio1
0.93,11.82434,-87.23116,4.315012,0,0,0,0,0,0,0,5.289263e-07,1.844915e-06,-7.33761e-06,0,0,0,Ejercicio1
0.94,11.82434,-87.23116,4.315012,0,0,0,0,0,0,0,8.313592e-09,2.899812e-08,-1.153316e-07,0,0,0,Ejercicio1
0.95,11.76066,-87.21793,4.257595,0,0,0,0,0,0,0,-0.4119803,0.132241,-0.5572829,0,0,0,Ejercicio1
