tt_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Etiqueta
0.0,13.34766,-87.85469,10.38201,0,0,0,0,0,0,0,0.02705507,-0.6656548,-0.3198224,0,0,0,Ejercicio1
0.01,13.35215,-87.84383,10.32895,0,0,0,0,0,0,0,0.04409063,0.1024532,-0.521805,0,0,0,Ejercicio1
0.02,13.28783,-87.89766,10.31557,0,0,0,0,0,0,0,-4.149283,-0.5184537,-0.4299099,0,0,0,Ejercicio1
0.03,13.29296,-87.94062,10.25464,0,0,0,0,0,0,0,0.27216,-0.6389291,-3.650007,0,0,0,Ejercicio1
0.04,13.23748,-87.97264,10.13523,0,0,0,0,0,0,0,0.1283971,1.473957,-9.204647,0,0,0,Ejercicio1
0.05,13.19139,-88.03643,9.90201,0,0,0,0,0,0,0,1.064051,0.9292228,-18.24143,0,0,0,Ejercicio1
0.06,13.21916,-88.07764,9.568366,0,0,0,0,0,0,0,1.031736,0.6042724,-12.47868,0,0,0,Ejercicio1
0.07,13.23304,-88.09795,9.401638,0,0,0,0,0,0,0,0.9364233,1.34901,-11.24918,0,0,0,Ejercicio1
0.08,13.24251,-88.12934,9.287947,0,0,0,0,0,0,0,0.2624976,-0.07828896,-3.152999,0,0,0,Ejercicio1
0.09,13.19529,-88.13801,9.062931,0,0,0,0,0,0,0,0.07157403,-0.07465471,-1.459563,0,0,0,Ejercicio1
0.1,13.19529,-88.13801,9.062931,0,0,0,0,0,0,0,0.0008173538,-0.0008525341,-0.01666777,0,0,0,Ejercicio1
0.11,13.12979,-88.13801,9.057519,0,0,0,0,0,0,0,-1.740263,-7.073386e-06,-0.1435812,0,0,0,Ejercicio1
0.12,13.06429,-88.13801,9.052134,0,0,0,0,0,0,0,-3.059902,-5.868715e-08,-0.250949,0,0,0,Ejercicio1
0.13,13.06863,-88.12666,8.999172,0,0,0,0,0,0,0,0.9894308,2.680029,-12.49359,0,0,0,Ejercicio1
0.14,13.06863,-88.12666,8.999172,0,0,0,0,0,0,0,0.01555174,0.04212433,-0.1963726,0,0,0,Ejercicio1
0.15,13.06863,-88.12666,8.999172,0,0,0,0,0,0,0,9.374662e-05,0.0002539275,-0.001183743,0,0,0,Ejercicio1
0.16,13.06863,-88.12666,8.999172,0,0,0,0,0,0,0,7.778058e-07,2.106809e-06,-9.821391e-06,0,0,0,Ejercicio1
0.17,13.06863,-88.12666,8.999172,0,0,0,0,0,0,0,6.681359e-09,1.747998e-08,-8.146836e-08,0,0,0,Ejercicio1
0.18,13.07732,-88.10388,8.893263,0,0,0,0,0,0,0,1.334208,3.504511,-16.26851,0,0,0,Ejercicio1
0.19,13.086,-88.08102,8.787373,0,0,0,0,0,0,0,0.8036977,2.119424,-9.799792,0,0,0,Ejercicio1
0.2,13.15598,-88.06956,8.73983,0,0,0,0,0,0,0,0.3557379,0.1119233,-0.4906587,0,0,0,Ejercicio1
0.21,13.16034,-88.05808,8.686898,0,0,0,0,0,0,0,0.01818948,0.04106983,-0.1889295,0,0,0,Ejercicio1
