time,pxr_01,pyr_01,pzr_01,vel1_01,vel2_01,vel3_01,Hpred0,Etiqueta
0,0.0044275303,-0.08799198,0.0058542414,0.00042777753,8.449062e-05,-0.0014428884,-0.0003575176846509,Ejercicio1
1,0.0061064105,-0.08805091,0.006715635,0.0004870815,0.00014925455,-0.0026096892,-0.0004702105122829,Ejercicio1
2,0.008506968,-0.08810619,0.0078077407,0.0005145721,0.0002634619,-0.0042632422,-0.0006015241704341,Ejercicio1
3,0.010549149,-0.08812465,0.008572822,0.0004632155,0.0004000098,-0.0056014433,-0.0006992523344787,Ejercicio1
4,0.011724196,-0.08810612,0.008811461,0.00035168985,0.0005279184,-0.006196359,-0.0007652218858465,Ejercicio1
5,0.012189169,-0.088065796,0.008688815,0.0002287968,0.00062555283,-0.0061819773,-0.0007390798882936,Ejercicio1
6,0.012215004,-0.08801678,0.008393427,0.00013687876,0.00067838925,-0.0058332515,-0.0006708349478196,Ejercicio1
7,0.012011915,-0.08796665,0.008032284,9.276678e-05,0.0006825946,-0.005346218,-0.0006263292869767,Ejercicio1
8,0.011731647,-0.087919266,0.007656032,9.474119e-05,0.0006442938,-0.0048287639999999,-0.0005927839658936,Ejercicio1
9,0.011475563,-0.087876434,0.007289787,0.00013304603,0.0005727316,-0.0043388394999999,-0.000529658875631,Ejercicio1
10,0.01129107,-0.08783788,0.0069432845,0.0001940382,0.00047612622,-0.0038973656,-0.0004787846735748,Ejercicio1
11,0.01118489,-0.087802605,0.006616091,0.0002625377199999,0.00036244813,-0.0035020587,-0.0004482467640705,Ejercicio1
12,0.011145738,-0.0877695,0.0063054633,0.0003244553,0.00023875104,-0.0031457682,-0.0003915649446364,Ejercicio1
13,0.011153261,-0.087736336,0.0060143642,0.00036731383,0.00010731427,-0.002824887,-0.0003695316511167,Ejercicio1
14,0.011178464,-0.08769989,0.0057514935,0.00037736532,-3.594761e-05,-0.0025382123,-0.0003263969715899,Ejercicio1
15,0.011188929,-0.08765838,0.0055229263,0.00034080213,-0.00019848584,-0.0022813034,-0.0003075631122052,Ejercicio1
16,0.011165252,-0.087614265,0.0053292669999999,0.0002525283,-0.00038411093,-0.002058802,-0.0002730504848641,Ejercicio1
17,0.011115251,-0.087573364,0.0051607585,0.00011600296,-0.0005911402,-0.0019010428,-0.0002539570258875,Ejercicio1
18,0.011049852,-0.08754079,0.0049872694,-7.628256e-05,-0.00081966823,-0.001842871,-0.0002490028874576,Ejercicio1
19,0.01096767,-0.08752108,0.0047679609999999,-0.0003435994399999,-0.0010647713999999,-0.0019014673,-0.0002228584639003,Ejercicio1
20,0.010868714,-0.08751884,0.0044692245,-0.0006961811,-0.001299796,-0.002065411,-0.0001804827535809,Ejercicio1
21,0.010729258,-0.08753779,0.0040785265,-0.0011332606999999,-0.0014817413,-0.0022969766,-0.0001476712844693,Ejercicio1
22,0.0105295559999999,-0.08757697,0.0036043706,-0.0016548295,-0.0015714412,-0.0025786397,-9.485075577778664e-05,Ejercicio1
23,0.010307542,-0.087628685,0.003066534,-0.0022642226,-0.0015354304,-0.0029350014,-1.8704896091424776e-05,Ejercicio1
24,0.010095129,-0.087681274,0.0025135014,-0.002902927,-0.0013482445,-0.0033730567,5.234900004084576e-05,Ejercicio1
25,0.009850348,-0.08772146,0.0019830014,-0.0034936314,-0.0010147811,-0.0038583937,0.0001166423508582,Ejercicio1
26,0.009514912,-0.087743195,0.0014776374,-0.0040335307,-0.0005698712,-0.0043304453,0.000149765509218,Ejercicio1
27,0.009222804,-0.08774543,0.0010233460999999,-0.0045197053,-8.783930500000001e-05,-0.0046978817,0.0002239121308749,Ejercicio1
28,0.009110948,-0.087726006,0.000598684,-0.004903084,0.00034061626,-0.0049005156,0.0002563601042796,Ejercicio1
