tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0
0.0,0.014148059999999999,-0.08647969999999999,-0.000748041,0,0,0,0,0,0,0,0.008010939,-0.01634075,0.014227380000000001,0,0,0,0.00043740431466334997
0.001,0.014206950000000001,-0.08674119000000001,-0.0006156108999999999,0,0,0,0,0,0,0,0.001214533,-0.017655729999999998,0.003616414,0,0,0,0.0004406869705723401
0.002,0.01419882,-0.08682555000000002,-0.0005189224,0,0,0,0,0,0,0,-0.0004051013,-0.011454420000000002,0.005101657000000001,0,0,0,0.00042086345120145006
0.003,0.01412938,-0.08682555000000002,-0.0005247467,0,0,0,0,0,0,0,-0.002361422,-6.904779e-05,-0.0001666177,0,0,0,0.00042302148197378005
0.004,0.01399049,-0.08682555000000002,-0.0005363095,0,0,0,0,0,0,0,-0.01024184,-7.885048000000001e-07,-0.0008480771000000001,0,0,0,0.0004269187765022201
0.005,0.01385159,-0.08682555000000002,-0.0005477582,0,0,0,0,0,0,0,-0.01089873,-4.753144e-09,-0.0008938216,0,0,0,0.0004269187765022201
0.006,0.01384792,-0.08689468,-0.0005030089,0,0,0,0,0,0,0,-0.000707983,-0.01121777,0.005193929,0,0,0,0.00042086345120145006
0.007,0.01383939,-0.086925,-0.00039899810000000005,0,0,0,0,0,0,0,-0.001030798,-0.003711452,0.0125482,0,0,0,0.00041384708763543006
0.008,0.01389592,-0.08697033000000001,-0.0002372362,0,0,0,0,0,0,0,0.01022326,-0.004317508,0.01584165,0,0,0,0.00038243076852922833
0.009000000000000001,0.01389163,-0.0869854,-0.00018520490000000002,0,0,0,0,0,0,0,-0.0002671474,-0.001396738,0.004837868,0,0,0,0.00037397828536280496
0.01,0.01388734,-0.08700044,-0.0001331676,0,0,0,0,0,0,0,-9.512971000000001e-06,-3.440297e-05,0.00011910310000000001,0,0,0,0.00037397828536280496
0.011,0.01381379,-0.08701546,-8.681858000000001e-05,0,0,0,0,0,0,0,-0.00345275,-0.0005322133,0.001574271,0,0,0,0.00037397828536280496
0.012,0.01381379,-0.08701546,-8.681858000000001e-05,0,0,0,0,0,0,0,-1.512178e-05,-2.330899e-06,6.89473e-06,0,0,0,0.000371793380033395
0.013000000000000001,0.01367526,-0.08701546,-9.812205000000001e-05,0,0,0,0,0,0,0,-0.019226,-5.042616e-08,-0.001560665,0,0,0,0.00037319180381641993
0.014,0.01339818,-0.08701546,-0.0001203872,0,0,0,0,0,0,0,-0.021368690000000003,-2.208481e-10,-0.001699417,0,0,0,0.00037319180381641993
0.015,0.0132602,-0.08706939,-0.0001385757,0,0,0,0,0,0,0,-0.01912395,-0.012761010000000001,-0.003223178,0,0,0,0.00037537670914582997
0.016,0.013260770000000002,-0.08712331000000001,-0.00014578060000000002,0,0,0,0,0,0,0,2.290028e-05,-0.006422462,-0.0008602238,0,0,0,0.00037698599656962
0.017,0.013260770000000002,-0.08712331000000001,-0.00014578060000000002,0,0,0,0,0,0,0,1.3804400000000002e-07,-3.87149e-05,-5.18547e-06,0,0,0,0.00037537670914582997
0.018000000000000002,0.013260770000000002,-0.08712331000000001,-0.00014578060000000002,0,0,0,0,0,0,0,2.318667e-10,-6.502779e-08,-8.709815e-09,0,0,0,0.000372277514485255
0.019,0.013260770000000002,-0.08712331000000001,-0.00014578060000000002,0,0,0,0,0,0,0,1.578249e-12,-1.503345e-10,-2.0053770000000003e-11,0,0,0,0.000372277514485255
0.02,0.013260770000000002,-0.08712331000000001,-0.00014578060000000002,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.000372277514485255
0.021,0.013260770000000002,-0.08712331000000001,-0.00014578060000000002,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.000372277514485255
0.022,0.013260770000000002,-0.08712331000000001,-0.00014578060000000002,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.000372277514485255
0.023,0.01333005,-0.08712331000000001,-0.00014031350000000002,0,0,0,0,0,0,0,0.000495833,0.0,3.922765e-05,0,0,0,0.000374091361629205
0.024,0.01341459,-0.08734786,-0.0003266594,0,0,0,0,0,0,0,0.0015748700000000001,-0.01546675,-0.01146651,0,0,0,0.0003988072239288633
0.025,0.01351337,-0.08768867000000001,-0.0006892161,0,0,0,0,0,0,0,0.002215879,-0.021750409999999998,-0.0163981,0,0,0,0.00043892370767996804
0.026000000000000002,0.01360451,-0.08811349,-0.0009528761999999999,0,0,0,0,0,0,0,0.001285876,-0.007613900000000001,-0.011415050000000001,0,0,0,0.0004676008967093576
0.027,0.01375488,-0.08835287,-0.001078836,0,0,0,0,0,0,0,0.01835426,-0.00748268,-0.002291616,0,0,0,0.00046949404863893
0.028,0.01410375,-0.08840688000000001,-0.0010567850000000002,0,0,0,0,0,0,0,0.01884015,-0.001009565,0.001435618,0,0,0,0.000468715376150504
0.029,0.014517210000000001,-0.0884222,-0.0009695303,0,0,0,0,0,0,0,0.019393249999999997,-0.0001532878,0.002170927,0,0,0,0.0004668222242209316
0.03,0.01472607,-0.0884222,-0.0009514931,0,0,0,0,0,0,0,0.004065936,-2.574711e-07,0.0003545142,0,0,0,0.00046926834989168405
0.031,0.01472212,-0.08849151000000001,-0.0009061134,0,0,0,0,0,0,0,9.28013e-06,-0.004986988,-8.465345000000001e-05,0,0,0,0.0004676008967093576
0.032,0.01465252,-0.08849151000000001,-0.0009121528,0,0,0,0,0,0,0,-0.006298791,-8.376433e-06,-0.0005454113000000001,0,0,0,0.0004699688277244976
0.033,0.01465252,-0.08849151000000001,-0.0009121528,0,0,0,0,0,0,0,-2.004269e-05,-2.6653720000000002e-08,-1.7354930000000002e-06,0,0,0,0.00047241495339525006
0.034,0.01465252,-0.08849151000000001,-0.0009121528,0,0,0,0,0,0,0,-8.777961000000001e-08,-1.167335e-10,-7.600822000000001e-09,0,0,0,0.00047360469731969003
0.035,0.01465252,-0.08849151000000001,-0.0009121528,0,0,0,0,0,0,0,-1.4744e-10,0.0,-1.276344e-11,0,0,0,0.00046850363022427007
0.036000000000000004,0.01465252,-0.08849151000000001,-0.0009121528,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00046850363022427007
0.037,0.01465252,-0.08849151000000001,-0.0009121528,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00046850363022427007
0.038,0.01465252,-0.08849151000000001,-0.0009121528,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00046850363022427007
0.039,0.01458292,-0.08849151000000001,-0.0009181636,0,0,0,0,0,0,0,-0.002474397,0.0,-0.00021317610000000001,0,0,0,0.00047241495339525006
0.04,0.01444427,-0.08854552,-0.0009366421,0,0,0,0,0,0,0,-0.011983190000000001,-0.0001579994,-0.001041704,0,0,0,0.0004699688277244976
0.041,0.014370250000000001,-0.08856080000000001,-0.0008906083000000001,0,0,0,0,0,0,0,-0.003298726,-2.2032730000000002e-05,-0.0002058712,0,0,0,0.0004735306501594665
0.042,0.014370250000000001,-0.08856080000000001,-0.0008906083000000001,0,0,0,0,0,0,0,-5.540731e-06,-3.700745e-08,-3.4579320000000004e-07,0,0,0,0.0004771665197546589
0.043000000000000003,0.014370250000000001,-0.08856080000000001,-0.0008906083000000001,0,0,0,0,0,0,0,-9.306543e-09,-6.112933e-11,-5.806897e-10,0,0,0,0.0004722734996204109
0.044,0.01430065,-0.08856080000000001,-0.0008965030000000001,0,0,0,0,0,0,0,-9.637432999999999e-05,0.0,-8.143245e-06,0,0,0,0.0004761848227913909
0.045,0.014091860000000001,-0.08856080000000001,-0.0009140155,0,0,0,0,0,0,0,-0.006875784,0.0,-0.0005724346999999999,0,0,0,0.00047241495339525006
0.046,0.014091860000000001,-0.08856080000000001,-0.0009140155,0,0,0,0,0,0,0,-1.589579e-05,0.0,-1.323383e-06,0,0,0,0.00047241495339525006
0.047,0.01416146,-0.08856080000000001,-0.0009082066,0,0,0,0,0,0,0,0.0008714396,0.0,7.291143e-05,0,0,0,0.00046926834989168405
0.048,0.014091860000000001,-0.08856080000000001,-0.0009140155,0,0,0,0,0,0,0,-0.016186330000000002,0.0,-0.001347572,0,0,0,0.00047241495339525006
0.049,0.014091860000000001,-0.08856080000000001,-0.0009140155,0,0,0,0,0,0,0,-2.7187490000000003e-05,0.0,-2.26346e-06,0,0,0,0.00047241495339525006
0.05,0.014091860000000001,-0.08856080000000001,-0.0009140155,0,0,0,0,0,0,0,-4.566569e-08,0.0,-3.801838e-09,0,0,0,0.00047360469731969003
0.051000000000000004,0.01409132,-0.08850678000000001,-0.0009074716000000001,0,0,0,0,0,0,0,-3.878691e-06,0.0003838813,4.658813e-05,0,0,0,0.00047282602483126403
0.052000000000000005,0.014090769999999999,-0.08845277,-0.0009009058,0,0,0,0,0,0,0,-1.505403e-06,0.0001484898,1.8082109999999998e-05,0,0,0,0.0004756600888113509
0.053,0.01402493,-0.08838348000000001,-0.0009520654,0,0,0,0,0,0,0,-0.002421468,0.001877508,-8.702474e-06,0,0,0,0.00047241495339525006
0.054,0.0137617,-0.08816015,-0.001162843,0,0,0,0,0,0,0,-0.019789860000000003,0.01338806,-0.008112154,0,0,0,0.00048734369127757403
0.055,0.013572269999999999,-0.08797502,-0.0014259960000000001,0,0,0,0,0,0,0,-0.008855444,0.01028389,-0.0102763,0,0,0,0.00052053614959822
0.056,0.0133128,-0.08784336000000001,-0.001700926,0,0,0,0,0,0,0,-0.009404832,0.004412837,-0.01190424,0,0,0,0.000534855509924295
0.057,0.01324288,-0.08784336000000001,-0.001706386,0,0,0,0,0,0,0,-0.00021202190000000002,1.727999e-05,-6.60381e-05,0,0,0,0.000534855509924295
0.058,0.01324288,-0.08784336000000001,-0.001706386,0,0,0,0,0,0,0,-3.5612429999999997e-07,2.9024480000000003e-08,-1.1092140000000001e-07,0,0,0,0.000535616957034865
0.059000000000000004,0.0133128,-0.08784336000000001,-0.001700926,0,0,0,0,0,0,0,0.0002590396,4.875119e-11,2.0279330000000003e-05,0,0,0,0.000543281984058275
0.06,0.01333311,-0.08776515000000001,-0.001960326,0,0,0,0,0,0,0,0.001190457,0.004598912,-0.01519859,0,0,0,0.0005779349307161484
0.061,0.01336963,-0.08762305000000001,-0.002426844,0,0,0,0,0,0,0,0.001420063,0.0055615560000000005,-0.01813915,0,0,0,0.0006361454379380173
0.062,0.013323600000000001,-0.08752737000000001,-0.0027430590000000004,0,0,0,0,0,0,0,-0.00026468730000000004,0.000846967,-0.002775743,0,0,0,0.0006529254541573323
0.063,0.013327640000000002,-0.08751135,-0.002794825,0,0,0,0,0,0,0,5.1539130000000005e-05,0.00022076340000000001,-0.0007130781,0,0,0,0.0006854433904097685
0.064,0.01325778,-0.08756534,-0.002807013,0,0,0,0,0,0,0,-0.001286336,-0.002604293,-0.0004314941,0,0,0,0.0006685428596324122
0.065,0.01325778,-0.08756534,-0.002807013,0,0,0,0,0,0,0,-2.160605e-06,-4.374321e-06,-7.247625e-07,0,0,0,0.0006757372391736953
0.066,0.01304612,-0.08751135,-0.0028165140000000004,0,0,0,0,0,0,0,-0.01582453,0.007750858,-0.0002337252,0,0,0,0.0006829548682485965
