tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.0,0.002590346,-0.08935349,0.02186534,0,0,0,0,0,0,0,3.5946690000000005e-05,0.0002211587,-0.002001703,0,0,0,-0.0031120897807496,Ejercicio 1
0.001,0.002590346,-0.08935349,0.02186534,0,0,0,0,0,0,0,1.1438200000000001e-07,7.037246e-07,-6.369397e-06,0,0,0,-0.0031123846347818,Ejercicio 1
0.002,0.002590346,-0.08935349,0.02186534,0,0,0,0,0,0,0,2.64434e-10,1.626906e-09,-1.472509e-08,0,0,0,-0.0031123846347818,Ejercicio 1
0.003,0.002590346,-0.08935349,0.02186534,0,0,0,0,0,0,0,6.019849e-13,3.761164e-12,-3.404238e-11,0,0,0,-0.0031099872246971,Ejercicio 1
0.004,0.002590346,-0.08935349,0.02186534,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.005,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,-0.01426515,0.0,-0.0002463886,0,0,0,-0.0031099872246971,Ejercicio 1
0.006,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,-3.297889e-05,0.0,-5.696137e-07,0,0,0,-0.0031099872246971,Ejercicio 1
0.007,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,-5.183577000000001e-07,0.0,-8.953111000000001e-09,0,0,0,-0.0031099872246971,Ejercicio 1
0.008,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,-2.270216e-09,0.0,-3.921134e-11,0,0,0,-0.0031099872246971,Ejercicio 1
0.009,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,-3.568295e-11,0.0,-6.163185000000001e-13,0,0,0,-0.0031099872246971,Ejercicio 1
0.01,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.011,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.012,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.013,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.014,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.015,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.016,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.017,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.018,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
