tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.0,0.0141480599999999,-0.0864796999999999,-0.000748041,0,0,0,0,0,0,0,0.008010939,-0.01634075,0.01422738,0,0,0,0.0004377851799604,Ejercicio 1
0.001,0.01420695,-0.08674119,-0.0006156108999999,0,0,0,0,0,0,0,0.001214533,-0.0176557299999999,0.003616414,0,0,0,0.0004377851799604,Ejercicio 1
0.002,0.01419882,-0.08682555,-0.0005189224,0,0,0,0,0,0,0,-0.0004051013,-0.01145442,0.005101657,0,0,0,0.0004105982673048,Ejercicio 1
0.003,0.01412938,-0.08682555,-0.0005247467,0,0,0,0,0,0,0,-0.002361422,-6.904779e-05,-0.0001666177,0,0,0,0.000407186950921,Ejercicio 1
0.004,0.01399049,-0.08682555,-0.0005363095,0,0,0,0,0,0,0,-0.01024184,-7.885048000000001e-07,-0.0008480771,0,0,0,0.000407186950921,Ejercicio 1
0.005,0.01385159,-0.08682555,-0.0005477582,0,0,0,0,0,0,0,-0.01089873,-4.753144e-09,-0.0008938216,0,0,0,0.000407186950921,Ejercicio 1
0.006,0.01384792,-0.08689468,-0.0005030089,0,0,0,0,0,0,0,-0.000707983,-0.01121777,0.005193929,0,0,0,0.0004105982673048,Ejercicio 1
0.007,0.01383939,-0.086925,-0.0003989981,0,0,0,0,0,0,0,-0.001030798,-0.003711452,0.0125482,0,0,0,0.0003953713535437,Ejercicio 1
0.008,0.01389592,-0.08697033,-0.0002372362,0,0,0,0,0,0,0,0.01022326,-0.004317508,0.01584165,0,0,0,0.0003711319850132,Ejercicio 1
0.009,0.01389163,-0.0869854,-0.0001852049,0,0,0,0,0,0,0,-0.0002671474,-0.001396738,0.004837868,0,0,0,0.0003611951880558,Ejercicio 1
0.01,0.01388734,-0.08700044,-0.0001331676,0,0,0,0,0,0,0,-9.512971e-06,-3.440297e-05,0.0001191031,0,0,0,0.0003612736097854,Ejercicio 1
0.011,0.01381379,-0.08701546,-8.681858000000001e-05,0,0,0,0,0,0,0,-0.00345275,-0.0005322133,0.001574271,0,0,0,0.0003611951880558,Ejercicio 1
0.012,0.01381379,-0.08701546,-8.681858000000001e-05,0,0,0,0,0,0,0,-1.512178e-05,-2.330899e-06,6.89473e-06,0,0,0,0.0003614538317904,Ejercicio 1
0.013,0.01367526,-0.08701546,-9.812205e-05,0,0,0,0,0,0,0,-0.019226,-5.042616e-08,-0.001560665,0,0,0,0.000357783871672,Ejercicio 1
0.014,0.01339818,-0.08701546,-0.0001203872,0,0,0,0,0,0,0,-0.02136869,-2.208481e-10,-0.001699417,0,0,0,0.0003575694998116,Ejercicio 1
0.015,0.0132602,-0.08706939,-0.0001385757,0,0,0,0,0,0,0,-0.01912395,-0.01276101,-0.003223178,0,0,0,0.000357783871672,Ejercicio 1
0.016,0.01326077,-0.08712331,-0.0001457806,0,0,0,0,0,0,0,2.290028e-05,-0.006422462,-0.0008602238,0,0,0,0.0003577889294796,Ejercicio 1
0.017,0.01326077,-0.08712331,-0.0001457806,0,0,0,0,0,0,0,1.3804400000000004e-07,-3.87149e-05,-5.18547e-06,0,0,0,0.0003610176863654,Ejercicio 1
0.018,0.01326077,-0.08712331,-0.0001457806,0,0,0,0,0,0,0,2.318667e-10,-6.502779e-08,-8.709815e-09,0,0,0,0.0003610176863654,Ejercicio 1
0.019,0.01326077,-0.08712331,-0.0001457806,0,0,0,0,0,0,0,1.578249e-12,-1.503345e-10,-2.0053770000000003e-11,0,0,0,0.000360803314505,Ejercicio 1
0.02,0.01326077,-0.08712331,-0.0001457806,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.000360803314505,Ejercicio 1
0.021,0.01326077,-0.08712331,-0.0001457806,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.000360803314505,Ejercicio 1
0.022,0.01326077,-0.08712331,-0.0001457806,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.000360803314505,Ejercicio 1
0.023,0.01333005,-0.08712331,-0.0001403135,0,0,0,0,0,0,0,0.000495833,0.0,3.922765e-05,0,0,0,0.0003636385452773,Ejercicio 1
0.024,0.01341459,-0.08734786,-0.0003266594,0,0,0,0,0,0,0,0.00157487,-0.01546675,-0.01146651,0,0,0,0.0003758287465692,Ejercicio 1
0.025,0.01351337,-0.08768867,-0.0006892161,0,0,0,0,0,0,0,0.002215879,-0.0217504099999999,-0.0163981,0,0,0,0.0004343281137733,Ejercicio 1
0.026,0.01360451,-0.08811349,-0.0009528761999999,0,0,0,0,0,0,0,0.001285876,-0.0076139,-0.01141505,0,0,0,0.0004559012153447,Ejercicio 1
0.027,0.01375488,-0.08835287,-0.001078836,0,0,0,0,0,0,0,0.01835426,-0.00748268,-0.002291616,0,0,0,0.0004620162108096,Ejercicio 1
0.028,0.01410375,-0.08840688,-0.001056785,0,0,0,0,0,0,0,0.01884015,-0.001009565,0.001435618,0,0,0,0.0004581505398808,Ejercicio 1
0.029,0.01451721,-0.0884222,-0.0009695303,0,0,0,0,0,0,0,0.0193932499999999,-0.0001532878,0.002170927,0,0,0,0.000459600158373,Ejercicio 1
0.03,0.01472607,-0.0884222,-0.0009514931,0,0,0,0,0,0,0,0.004065936,-2.574711e-07,0.0003545142,0,0,0,0.0004591673727543,Ejercicio 1
